context	profile	umap1	umap2	is_control	is_highlight
HCC38	control	-0.1811756044626236	3.1781930923461914	True	False
HCC38	ARID1A	-0.0064020780846476	5.921777248382568	False	False
HCC38	BMPR1A	-0.6135168671607971	2.4970602989196777	False	False
HCC38	CDKN2A	-1.0537737607955933	3.0423686504364014	False	False
HCC38	COMMD6	1.0738273859024048	2.3153867721557617	False	False
HCC38	ENY2	-1.0831713676452637	4.734131813049316	False	False
HCC38	ERC1	0.3548271954059601	1.7392690181732178	False	False
HCC38	ETV3	-0.458087146282196	3.583959579467773	False	False
HCC38	GON4L	0.522932767868042	3.942136526107788	False	False
HCC38	HDGF	0.594892680644989	2.9122939109802246	False	False
HCC38	HLX	0.277427077293396	4.459259510040283	False	False
HCC38	KLF3	0.1654262393712997	3.1739234924316406	False	False
HCC38	LAMTOR5	1.5831084251403809	2.143044233322144	False	False
HCC38	MAML3	-0.3190303444862366	1.713227152824402	False	False
HCC38	MIER1	-1.1777626276016235	3.958239078521729	False	False
HCC38	MTDH	1.2162405252456665	3.7580995559692383	False	False
HCC38	MYBL1	-0.178122341632843	2.3134875297546387	False	False
HCC38	NCOA1	0.4536142349243164	5.641357421875	False	False
HCC38	NPM1	-0.7932538390159607	5.643231391906738	False	True
HCC38	PA2G4	0.1845115274190902	1.3023691177368164	False	False
HCC38	PARK7	-0.6877871751785278	1.7622190713882446	False	False
HCC38	PCBD1	0.7635255455970764	3.25518536567688	False	False
HCC38	PEX14	2.0694689750671387	2.909268856048584	False	False
HCC38	PFDN5	-1.6881695985794067	2.8786323070526123	False	False
HCC38	PMF1	2.437258720397949	3.339988946914673	False	False
HCC38	PRDX2	-0.6447674036026001	3.401027202606201	False	False
HCC38	PRPF6	0.178042322397232	5.21047830581665	False	True
HCC38	RORC	0.3128008544445038	3.6970231533050537	False	False
HCC38	RPS3	1.7534065246582031	2.4304983615875244	False	False
HCC38	RUVBL2	0.911173701286316	4.250853538513184	False	False
HCC38	SMAD1	-1.4075947999954224	2.523812055587769	False	False
HCC38	STAT3	0.8650009632110596	1.621477127075195	False	False
HCC38	TAB3	1.626545786857605	4.213476181030273	False	False
HCC38	TADA3	-1.353236436843872	3.290724992752075	False	False
HCC38	THAP8	1.340551733970642	5.163301467895508	False	False
HCC38	THRA	0.599963366985321	2.2182040214538574	False	False
HCC38	TMF1	-0.5246832370758057	4.913764953613281	False	False
HCC38	TMSB4X	1.582026720046997	4.7744669914245605	False	False
HCC38	UBP1	-0.8879886865615845	2.402462720870972	False	False
HCC38	VEZF1	-0.4223670065402984	6.135856628417969	False	False
HCC38	XBP1	-0.1378452777862548	4.139520168304443	False	False
HCC38	YBX1	0.0151034360751509	2.557588815689087	False	False
HCC38	ZBTB17	1.70743727684021	3.063954591751098	False	False
HCC38	ZBTB20	-0.4005516171455383	5.753397941589356	False	False
HCC38	ZBTB5	0.6255407929420471	5.1982011795043945	False	False
HCC38	ZNF131	0.2349481433629989	6.12861967086792	False	False
HCC38	ZNF24	-0.6282921433448792	4.147018909454346	False	False
HCC38	ZNF566	1.2197508811950684	5.643124103546143	False	False
